id,customer_id,machine_group_id,machine_type_id,machine_type_detail_id,machine_tariffplan_id,vendor,model,registration_number,registration_year,construction_year,start_service_year,factory_number,ce,notified_organism_id,carried_weight,max_liters,ps_bar,fluid,producibility,region,province,city,zipcode,address,first_audit_at,last_audit_at,next_audit_at,usage,customer_machine_code,attachment_id,note,state,next_audit_type_code,reg_numb_year,reg_numb_activity_code,reg_numb_code,reg_numb_province,subject_to_startups,panieri_riserva,on_number,is_ped_group,group_factory_number,group_reg_number,ped_category,fluid_type,is_ui_group,ped_reg_numb_year,ped_reg_numb_activity_code,ped_reg_numb_code,ped_reg_numb_province,gvr_category,temp_min,temp_max,fluid_state,address_n,,,,,,,,,,,,,,,,,,,,,,
1,27,NULL,3,11,44,SIS,0,599/90 VA,1990,0,1990,7634,--,NULL,NULL,30000,17,0,0,9,39,1887,3013,S. Cecilia,1990-06-08,2013-09-13,2015-09-01,steel,599/90 VA,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
2,27,NULL,3,14,72,0,0,0,0,0,0,316,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-13,2014-09-01,steel,316,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,,,,,,,,,,,,,,,,,,,,,,,
3,27,NULL,3,14,72,0,0,0,0,0,0,309,--,NULL,NULL,50,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-13,2014-09-01,steel,309,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,,,,,,,,,,,,,,,,,,,,,,,
4,27,NULL,3,14,72,0,0,0,0,0,0,275,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-02-01,steel,275,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,,,,,,,,,,,,,,,,,,,,,,,
5,27,NULL,3,14,72,0,0,0,0,0,0,230,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-09-01,steel,230,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,,,,,,,,,,,,,,,,,,,,,,,
6,27,NULL,3,11,44,SIS,0,231/91 VA,1991,0,1991,7666,--,NULL,NULL,30000,17,0,0,9,39,1887,3013,S. Cecilia,1991-09-06,2013-09-19,2015-09-01,steel,231/91 VA,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
7,27,NULL,3,11,44,SIS,0,1048/90 VA,1990,0,1990,7665,--,NULL,NULL,30000,17,0,0,9,39,1887,3013,S. Cecilia,1990-06-08,2013-09-19,2015-09-01,steel,1048/90 VA,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
8,27,NULL,3,14,72,0,0,0,0,0,0,330,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-09-01,steel,330,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,,,,,,,,,,,,,,,,,,,,,,,
9,27,NULL,3,14,72,0,0,0,0,0,0,344,--,NULL,NULL,50,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-09-01,steel,344,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,,,,,,,,,,,,,,,,,,,,,,,
10,29,NULL,2,8,24,Mechanik Taucha Fordertechnik ,"GSX-T 250-2,55/1,5-2,3",OR/200006/2012,2012,2008,2012,830035/73,SI,NULL,250,NULL,NULL,NULL,NULL,10,80,5903,9080,Parco Eolico Montegrighine,2013-10-17,2013-10-17,2016-10-16,Altro,,NULL,,1,SUCC,2012,2,6,OR,0,0,,0,,,,0,0,,,,,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
11,20,NULL,1,5,7,Merlo,P10.13,,1996,1996,1996,60201,SI,NULL,240,NULL,NULL,NULL,NULL,13,11,4979,10041,Via La Loggia 79,NULL,NULL,2014-10-02,Altro,,NULL,,0,SUCC,C,N,509,96,0,0,,0,,,,0,0,,,,,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
12,186,NULL,2,8,24,OMIS FAC SRL,"C 50/5,64",,2000,2000,2004,11036,SI,NULL,500,NULL,NULL,NULL,NULL,17,66,7106,32030,Via Pradenich 38,2014-01-14,2014-01-14,2017-01-25,construction,,NULL,LAVORAZIONE MARMI,0,SUCC_ANNUALE,2004,2,146,BL,0,0,,0,,,,0,0,,,,,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
13,186,NULL,2,8,24,OMIS FAC SRL,C 50/7,,2000,2000,2004,11037,SI,NULL,500,NULL,NULL,NULL,NULL,17,66,7106,32030,Via Pradenich 38,2014-01-14,2014-01-14,2017-01-25,construction,,NULL,LAVORAZIONE MARMI,0,SUCC_ANNUALE,2004,2,145,BL,0,0,,0,,,,0,0,2004,2,145,BL,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
14,52,NULL,3,11,44,ICEM SpA,115429,,1979,1979,1979,9941,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3946,NULL,,1,FUN_BIEN,1979,0,27040,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
15,52,NULL,3,11,44,I.C.E.M. Spa,115429,,1981,1981,1981,35586,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3947,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1981,0,37841,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
16,52,NULL,3,11,44,A.Merloni Spa,10,,1986,1986,1986,118002,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1987-10-15,2024-01-27,steel,3948,NULL,Attrezzatura priva di verbale di primo impianto.,1,FUN_BIEN,1986,0,9002,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
17,52,NULL,3,11,44,A.Merloni Spa,10,,1986,1986,1986,118161,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3949,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1986,0,9161,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
18,52,NULL,3,11,44,A.Merloni Spa,10,,1986,1986,1986,118175,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3950,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1986,0,9175,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
19,52,NULL,3,11,44,A.Merloni Spa,10,,1987,1987,1987,146889,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1987-10-15,2024-01-27,steel,3951,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1987,0,13889,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
20,52,NULL,3,11,44,A.Merloni Spa,10,,1988,1988,1988,174042,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,2014-01-28,2024-01-27,steel,3952,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1988,0,11042,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
21,52,NULL,3,11,44,A.Merloni Spa,10,,1989,1989,1997,223067,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-03-07,NULL,2014-01-28,steel,3953,NULL,,0,SUCC,1989,0,20067,MC,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
22,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,0,D4760,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,NULL,2014-01-28,steel,3953,NULL,Attrezzatura accompagnata dal solo libretto I.S.P.E.S.L.,0,SUCC,1989,0,4760,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
23,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,0,D4760,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-09-17,NULL,2014-01-29,steel,3953,NULL,,0,SUCC,1989,0,4760,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
24,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,0,D4760,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1989-11-08,1989-11-08,2014-01-28,steel,3953,NULL,Attrezzatura accompagnata solamente dal libretto I.S.P.E.S.L.,0,SUCC,1989,0,4760,FG,0,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
25,52,NULL,3,11,44,Faserbatoi Spa,77432,,1989,1989,1989,D4760,SI,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1989-11-08,1989-11-08,2024-01-29,steel,3953,NULL,,1,INT_DEC,1989,0,4760,FG,1,0,100,0,,,,1,0,1989,0,4760,FG,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
26,52,NULL,3,11,44,A.Merloni Spa,10,,1989,1989,1997,223067,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-03-07,1997-03-07,2024-01-27,steel,3954,NULL,,1,FUN_BIEN,1989,0,20067,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
27,52,NULL,3,11,44,A.Merloni Spa,10,,1989,1989,1997,236795,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-09-17,1997-09-17,2024-01-28,steel,3955,NULL,,1,FUN_BIEN,1989,0,33795,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
28,52,NULL,3,11,44,A.Merloni Spa,11500,,1990,1990,1997,272449,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,1997-07-08,1997-07-08,2024-01-28,steel,3956,NULL,,1,FUN_BIEN,1990,0,27449,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
